Date,Close/Last,Volume,Open,High,Low,Day
2/24/2020,95.91,8364218,95.54,97.07,95.25,1
2/25/2020,92.90,9602121,96.35,96.76,92.62,2
2/26/2020,92.00,9308916,93.08,94.65,91.99,3
2/27/2020,88.55,12825660,90.00,93.06,88.50,4
2/28/2020,89.38,16565660,86.03,89.47,85.15,5
3/2/2020,92.68,14102050,89.60,93.14,87.91,6
3/3/2020,90.93,14767610,92.74,94.98,90.57,7
3/4/2020,93.79,6904443,92.08,93.82,90.84,8
3/5/2020,90.58,8851096,91.26,91.68,89.94,9
3/6/2020,88.36,12336710,88.36,89.39,85.88,10
3/9/2020,84.11,13272740,81.89,86.74,80.92,11
3/10/2020,88.30,12755880,86.69,88.40,82.88,12
3/11/2020,84.00,16172670,84.00,84.63,82.07,13
3/12/2020,74.20,21534810,78.23,78.49,73.00,14
3/13/2020,75.58,21859580,78.20,78.20,71.76,15
3/16/2020,66.79,17976680,65.28,72.97,63.37,16
3/17/2020,69.84,17122100,67.51,73.33,62.40,17
3/18/2020,68.04,19498810,64.79,68.33,60.00,18
3/19/2020,70.34,16177150,67.04,72.71,64.15,19
3/20/2020,67.45,15761860,71.51,74.06,67.20,20
3/23/2020,62.80,17690000,65.00,66.88,60.58,21
3/24/2020,72.33,18849460,65.70,72.66,64.00,22
3/25/2020,79.01,27053250,80.11,83.49,76.20,23
3/26/2020,84.30,17204690,80.17,86.86,80.01,24
3/27/2020,83.23,14183380,81.70,85.74,79.51,25
3/30/2020,85.38,10960130,84.00,85.96,81.50,26
3/31/2020,82.74,9618581,85.13,85.73,82.40,27
4/1/2020,79.23,9771306,79.49,81.18,78.53,28
4/2/2020,80.14,12731460,79.00,81.60,77.16,29
4/3/2020,78.86,8476870,79.36,79.79,77.91,30
4/6/2020,84.63,11266500,81.91,85.04,81.21,31
4/7/2020,84.16,10468060,88.70,88.87,84.03,32
4/8/2020,85.30,6642735,84.70,85.77,83.61,33
4/9/2020,86.79,7773978,86.69,87.39,85.16,34
4/13/2020,84.46,5077961,85.80,85.99,84.14,35
4/14/2020,87.47,6397244,85.95,87.77,85.48,36
4/15/2020,85.04,8053875,84.87,85.88,83.71,37
4/16/2020,86.30,9373831,85.43,86.53,84.55,38
4/17/2020,89.91,8111384,89.00,90.25,88.36,39
4/20/2020,87.90,7244372,88.43,89.44,87.52,40
4/21/2020,85.20,6596992,85.99,86.90,85.09,41
4/22/2020,88.77,6463929,86.98,89.44,86.42,42
4/23/2020,87.35,5343535,88.94,89.53,87.26,43
4/24/2020,88.37,4450191,88.89,89.12,87.65,44
4/27/2020,89.37,6875240,88.38,89.87,87.31,45
4/28/2020,88.80,5145355,90.55,90.71,88.63,46
4/29/2020,88.07,9461406,90.00,91.39,87.83,47
4/30/2020,87.18,9371430,87.00,88.00,86.51,48
5/1/2020,85.54,6151242,85.67,86.11,84.81,49
5/4/2020,85.75,6349037,84.68,85.80,84.31,50
5/5/2020,87.20,6321466,86.54,88.53,86.03,51
5/6/2020,88.44,7342304,88.05,88.69,87.43,52
5/7/2020,88.56,4566317,89.40,90.24,88.38,53
5/8/2020,90.46,5489391,90.11,90.64,89.59,54
5/11/2020,90.93,4937550,89.45,91.42,89.14,55
5/12/2020,88.26,5622578,91.53,91.67,88.15,56
5/13/2020,86.02,6739827,87.38,87.74,85.20,57
5/14/2020,86.55,7431774,85.00,86.58,84.11,58
5/15/2020,86.99,9164990,85.25,87.23,84.88,59
5/18/2020,91.04,8519615,90.49,91.60,89.88,60
5/19/2020,91.51,6514141,90.85,93.82,90.82,61
5/20/2020,92.95,6346990,93.20,93.86,92.70,62
5/21/2020,94.26,7504258,92.88,94.38,92.37,63
