Date,Close/Last,Volume,Open,High,Low
2/21/2025,$76.50 ,12823390,$77.40 ,$77.99 ,$75.86 
2/20/2025,$77.23 ,10689580,$76.91 ,$77.27 ,$76.34 
2/19/2025,$76.78 ,14184100,$76.82 ,$77.68 ,$76.09 
2/18/2025,$77.59 ,28252380,$74.50 ,$77.68 ,$74.50 
2/14/2025,$73.04 ,9254379,$73.17 ,$73.50 ,$72.34 
2/13/2025,$73.21 ,9739567,$72.45 ,$73.60 ,$71.63 
2/12/2025,$72.26 ,10810860,$70.60 ,$72.45 ,$70.33 
2/11/2025,$71.34 ,9636623,$70.57 ,$71.99 ,$70.51 
2/10/2025,$70.94 ,16201330,$69.36 ,$70.95 ,$69.12 
2/7/2025,$68.68 ,27428700,$70.56 ,$70.81 ,$68.62 
2/6/2025,$71.74 ,16059370,$75.24 ,$75.40 ,$71.63 
2/5/2025,$74.57 ,9807401,$76.30 ,$76.79 ,$74.40 
2/4/2025,$76.72 ,11943730,$77.55 ,$78.16 ,$76.04 
2/3/2025,$76.59 ,18539220,$74.90 ,$76.69 ,$73.22 
1/31/2025,$76.90 ,13105920,$78.11 ,$78.86 ,$76.76 
1/30/2025,$78.33 ,10902070,$76.85 ,$78.77 ,$76.85 
1/29/2025,$76.58 ,11764840,$74.45 ,$77.12 ,$74.32 
1/28/2025,$74.39 ,8694418,$75.33 ,$75.60 ,$74.16 
1/27/2025,$75.58 ,11665380,$73.44 ,$75.85 ,$73.42 
1/24/2025,$73.57 ,8106651,$74.07 ,$74.25 ,$73.25 
