gender,sweet_tooth,chocolate_brands,spent_per_week
Male,No,3,0
Male,Yes,3,0
Male,No,2,0
Female,No,4,0
Male,Yes,5,5
Female,Yes,4,4
Female,No,2,0
Male,No,3,0
Male,Yes,5,6
Male,No,4,0
Female,Yes,3,4
Female,No,2,0
Male,No,3,0
Female,Yes,3,7
Male,Yes,5,7
Female,Yes,3,0
Male,No,2,0
Male,Yes,6,5
Female,No,4,0
Male,No,5,0
Male,Yes,4,5
Female,Yes,4,3
Male,No,2,0
Male,Yes,6,5
Female,Yes,2,5
Female,No,2,0
Female,No,2,0
Female,Yes,4,4
Female,Yes,8,6
Male,Yes,9,5
Female,Yes,7,7
Male,No,8,0
Male,No,9,0
Female,Yes,7,6
Female,No,6,0
Female,No,8,0
Male,Yes,6,0
Female,No,8,0
Male,Yes,10,5
Female,Yes,10,7
Male,No,9,0
Female,Yes,8,7
Male,No,9,0
Female,Yes,9,6
Male,Yes,7,5
Female,No,8,0
Male,No,10,0
Male,Yes,6,4
Female,Yes,8,0
Male,No,7,0
Female,No,6,0
Female,Yes,8,6
Female,No,8,0
Male,No,6,0
Female,Yes,7,5
Female,Yes,10,6
Male,Yes,7,6
Female,Yes,7,5
Male,No,6,0
Female,Yes,8,6
Female,Yes,10,0
Male,No,2,0
Male,No,6,0
Female,Yes,9,8
Female,Yes,7,5
Female,No,5,0
Female,No,6,0
Female,No,9,0
Male,Yes,7,4
Female,Yes,8,7
Female,Yes,4,4
Female,No,6,0
Female,No,3,0
Female,No,4,0
Male,Yes,7,6
Female,Yes,6,3
Female,No,6,0
Male,No,5,0
Male,Yes,8,3
Male,Yes,4,3
Male,Yes,7,5
Female,Yes,4,0
Male,No,6,0
Female,No,5,0
Female,Yes,7,5
Male,Yes,9,7
Female,Yes,5,3
Female,No,4,0
Male,Yes,5,5
Male,Yes,7,3
Female,Yes,3,4
Male,No,8,0
Female,Yes,8,4
Male,No,5,4
Male,No,7,0
Male,Yes,7,0
Female,Yes,6,0
Female,No,5,0
Female,Yes,6,3
Male,No,6,0
Female,Yes,8,5
Female,Yes,6,6
Female,Yes,6,0
Male,Yes,4,3
